"","label","-38,38,","-46,46,","-38,46,","-17,17,","-81,38,","-46,38,","-81,46,","-85,85,","-29,44,","-200,157,","-16,16,","-82,38,","-82,46,","-24,24,","-93,93,","-29,16,","-103,103,","-29,17,","-29,38,","-29,39,","-38,103,","-200,16,","-226,226,","-200,226,","-103,38,","-29,46,","-81,103,","-167,46,","-226,157,","-240,16,","-17,16,","-29,103,","-38,85,","-77,77,","-85,38,","-167,167,","-103,46,","-115,16,","-115,17,","-157,157,","-294,294,","-38,167,","-39,39,","-46,167,","-82,103,","-115,157,","-15,16,","-15,17,","-16,17,","-38,168,","-46,103,","-167,38,","-168,168,","-17,148,","-200,240,","-230,46,","-29,240,","-29,253,","-54,54,","-62,62,","-64,24,","-81,167,","-83,46,","-115,226,","-16,259,","-167,184,","-17,157,","-17,226,","-207,207,","-277,277,","-277,38,","-277,46,","-29,225,","-29,40,","-309,46,","-38,171,","-38,184,","-38,277,","-38,340,","-38,359,","-38,470,","-38,488,","-38,65,","-39,17,","-40,225,","-40,39,","-46,168,","-46,171,","-46,184,","-46,277,","-46,359,","-46,470,","-470,46,","-470,470,","-488,340,","-488,46,","-488,488,","-61,38,","-81,168,","-81,184,","-82,167,","-82,184,","-83,103,","-83,38,","671,-671,","-29,-44,","-45,-44,","-29,","-29,-260,","45,-45,","-16,383,","-17,39,","-184,184,","-29,511,","-402,46,","-85,46,","-106,209,","-17,100,","404,","460,262,","-226,17,","-13,13,","-81,359,","-162,16,","-20,46,","-115,115,","-157,226,","-171,38,","-17,211,","-17,65,","-200,115,","-200,17,","-200,200,","-22,39,","-29,13,","-298,298,","-29,85,","-38,61,","-43,16,","-46,340,","-62,20,","-62,38,","-65,38,","-81,242,","-29,420,","-29,-486,","-29,486,","-106,106,","-100,157,","-100,17,","-106,-529,","-178,157,","-184,38,","-184,46,","-185,-540,","-235,38,","-29,-118,","-38,20,","-44,44,","-46,20,","-54,-540,","-64,16,","-80,46,","-81,20,","-82,20,","-92,92,","-92,93,","-93,92,","18,38,","-402,402,","-16,178,","-168,38,","-200,178,","-240,178,","-253,253,","-259,16,","-259,259,","-29,178,","-292,292,","-38,402,","-46,402,","-39,240,","-65,46,","29,-29,","-40,404,","-40,-44,","-40,606,","-40,72,","-40,73,","-44,","-65,103,","-383,16,","-40,118,","-22,44,","-157,17,","-148,148,","-19,16,","-19,17,","-38,-260,","-40,264,","-40,65,","-240,39,","-36,103,","-40,71,","-74,39,","-40,17,","-21,46,","-240,240,","-262,262,","-44,-44,","-46,85,","-103,167,","-44,22,","-167,103,","-211,228,","-228,228,","-264,264,","-292,38,","-38,292,","-39,264,","-40,40,","-41,39,","-41,41,","-468,468,","-65,167,","-209,17,","-209,209,","-17,209,","-17,115,","-61,61,","-40,","-40,-65,","-40,67,","-40,68,","-197,46,","-21,167,","-213,17,","-44,29,","-100,39,","-230,38,","-8,24,","-17,13,","-280,39,","-212,228,","-264,39,","-103,-260,","-148,17,","-167,85,","-38,451,","-85,103,","-85,167,","-118,72,","-118,73,","-383,383,","-65,-260,","-103,61,","-21,21,","-38,21,","-46,197,","-46,21,","-65,61,","-65,65,","-103,65,","-282,39,","-364,46,","-40,284,","-40,342,","-40,233,","-100,106,","-103,85,","-13,100,","-13,298,","-15,15,","-17,233,","-212,212,","-221,38,","-266,266,","-298,100,","-171,171,","-46,65,","-17,213,","-17,-464,","-209,148,","-40,-118,","-40,-271,","-69,233,","-69,67,","-69,68,","-69,72,","-69,73,","-74,233,","-74,67,","-74,68,","-74,72,","-74,73,","-106,17,","-100,536,","-100,537,","-101,536,","-101,537,","-40,536,","-40,537,","-103,292,","-211,212,","-228,212,","-292,103,","-157,115,","-226,115,","-240,169,","-41,211,","-46,236,","-56,38,","-56,46,","-235,235,","-38,86,","-38,87,","-46,86,","-46,87,","-103,197,","-151,38,"
"1",TRUE,722,365,273,235,117,111,97,62,42,39,38,35,31,27,22,20,17,16,15,15,15,14,11,9,8,8,8,7,7,7,6,6,6,6,6,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",TRUE,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,4,2,1,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",TRUE,20,4,3,6,0,0,0,1,1,6,16,0,0,0,2,9,0,1,0,17,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",TRUE,110,20,5,2,5,5,1,2,0,1,4,2,0,0,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",TRUE,7,1,1,2,3,0,0,0,0,0,2,2,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",TRUE,850,412,316,158,216,190,148,229,9,47,28,9,8,165,23,10,10,43,21,20,9,3,18,8,12,5,3,4,6,2,6,5,14,1,16,0,11,3,5,4,0,5,10,6,1,4,3,3,4,11,4,2,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2,4,3,3,0,1,0,1,0,1,0,0,0,3,0,0,0,0,7,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",TRUE,91,31,12,37,11,8,5,10,35,3,4,2,0,1,1,1,1,9,1,5,1,0,2,2,3,0,2,0,0,0,1,1,1,0,3,1,0,0,0,0,0,1,2,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2,3,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,11,11,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",TRUE,142,67,27,32,16,24,9,5,9,3,32,2,1,0,6,25,2,3,4,18,2,12,1,0,1,2,0,1,0,10,4,0,3,7,2,3,0,2,5,0,1,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",TRUE,14,4,2,6,0,0,1,5,0,1,4,0,1,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",TRUE,4,1,1,2,2,1,1,0,0,0,1,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
