"","label","-38,38,","-93,93,","-46,46,","-16,16,","671,-671,","-17,17,","-29,16,","-46,38,","-17,39,","-29,","-38,46,","-29,39,","-81,38,","-29,38,","-15,16,","-15,17,","-29,17,","-200,157,","-29,-44,","-29,44,","-29,65,","-39,39,","460,262,","-65,65,","-81,46,","-83,38,","-85,85,","18,38,","-103,103,","-103,38,","-103,46,","-115,17,","18,-260,","-38,103,","-38,-260,","-38,85,","45,-45,","-46,103,","-54,54,","-81,103,","-82,38,","-16,259,","-16,17,","-17,148,","-17,16,","-20,38,","-29,431,","404,","-82,46,","-29,103,","-29,46,","-115,16,","-85,38,","-200,16,","-29,-431,","-83,46,","-240,16,","-81,167,","-11,85,","-226,226,","-46,167,","-106,106,","-115,157,","-172,38,","-24,24,","-38,167,","-38,61,","-46,488,","-77,77,","-81,61,","-82,167,","-100,157,","-103,21,","-16,258,","-167,167,","-167,184,","-167,46,","-17,226,","-178,157,","-184,167,","-184,184,","-184,46,","-200,226,","-21,38,","-226,157,","-226,17,","-237,237,","-240,240,","-29,237,","-29,253,","-29,264,","-340,340,","-38,184,","-38,21,","-38,488,","-46,340,","-55,55,","-57,38,","-61,38,","-61,61,","-62,38,","-64,38,","-82,103,","-83,167,","-83,61,","-85,46,","-83,103,","-29,43,","-115,226,","-157,157,","-200,115,","-29,40,","-103,61,","-230,103,","-253,253,","-29,31,","-85,103,","-200,240,","-230,38,","-29,240,","-65,103,","-82,61,","-16,240,","-19,16,","-20,103,","-21,103,","-29,170,","-29,225,","-29,347,","-29,41,","-29,51,","-31,31,","-381,17,","-382,17,","-41,40,","-46,21,","-523,103,","-61,103,","-81,21,","-81,85,","-82,21,","-82,85,","-85,61,","-294,294,","-17,100,","-38,57,","-6,6,","-262,262,","-41,39,","-103,167,","-103,85,","-167,38,","-17,225,","-185,39,","-200,17,","-20,46,","-240,17,","-259,16,","-29,157,","-29,404,","-367,225,","-410,39,","-41,225,","-57,57,","-64,16,","-81,184,","-81,-260,","-82,184,","-83,85,","-38,65,","-46,65,","-17,126,","-103,65,","-38,62,","-62,62,","-81,65,","-103,184,","-115,115,","-167,103,","-167,85,","-17,115,","-17,211,","-185,54,","-21,46,","-230,46,","-29,-260,","-29,8,","-38,168,","-38,292,","-46,57,","-46,85,","-54,55,","-81,62,","-77,347,","-17,46,","-292,292,","-38,17,","-148,148,","-162,16,","-292,38,","-347,347,","-347,77,","-46,17,","-65,46,","-80,38,","-80,46,","-29,22,","-138,138,","-22,17,","-17,37,","-200,200,","-22,226,","-37,17,","-37,37,","-46,168,","-469,468,","-81,168,","-103,20,","-152,103,","18,103,","-231,231,","-240,39,","-38,20,","-44,","-46,184,","-46,20,","-81,20,","-38,470,","-488,488,","-46,470,","-340,488,","-470,470,","-340,46,","-340,470,","-38,340,","-470,488,","-488,470,","-340,38,","-168,168,","-185,71,","-259,259,","-29,145,","-29,-225,","-29,-65,","-38,242,","-407,17,","-43,43,","-46,402,","-46,62,","-470,46,","-554,17,","-64,17,","-81,242,","-81,359,","-89,89,","-11,24,","-41,93,","-62,46,","-82,20,","-91,93,","-231,17,","-103,292,","-157,226,","-17,157,","-292,103,","-129,24,","-154,38,","-169,17,","-169,226,","-17,118,","-172,46,","-231,226,","-29,118,","-29,29,","-29,57,","-106,229,","-29,67,","-29,68,","-43,65,","-165,165,","-20,165,","-280,280,","-184,103,","-184,38,","-184,85,","-19,17,","-40,17,","-40,65,","-83,184,","-92,92,","-92,93,","-93,92,","-39,17,","18,46,","-100,17,","-198,17,","-157,200,","-226,115,","-242,242,","-242,545,","-264,264,","-264,39,","-402,402,","-470,340,","-476,38,","-62,103,","-100,100,","-100,178,","-178,100,","-178,178,","-29,298,","-40,39,","-39,240,","-277,277,","-277,38,","29,-29,","-40,404,","-40,-44,","-40,606,","-40,72,","-40,73,","-65,38,","-383,16,","-40,118,","-44,44,","-22,44,","-157,17,","-40,264,","-36,103,","-40,71,","-74,39,","-44,-44,","-44,22,","-211,228,","-228,228,","-39,264,","-40,40,","-41,41,","-468,468,","-65,167,","-209,17,","-209,209,","-17,209,","-40,","-40,-65,","-40,67,","-40,68,","-197,46,","-21,167,","-213,17,","-44,29,","-100,39,","-8,24,","-17,13,","-280,39,","-212,228,","-103,-260,","-148,17,","-38,277,","-38,451,","-85,167,","-118,72,","-118,73,","-16,383,","-207,207,","-383,383,","-65,-260,","-21,21,","-46,197,","-65,61,","-13,13,","-282,39,","-298,298,","-364,46,","-40,284,","-40,342,","-40,233,","-100,106,","-13,100,","-13,298,","-15,15,","-17,233,","-212,212,","-221,38,","-266,266,","-298,100,","-171,171,","-38,171,","45,-344,","-211,212,","-231,157,","404,-22,","-103,197,"
"1",TRUE,50,5,4,3,3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",TRUE,57,0,9,1,3,7,0,9,0,1,6,5,5,3,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",TRUE,76,3,40,10,3,11,0,11,0,1,31,5,7,0,0,0,0,2,1,0,0,2,0,0,3,0,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",TRUE,73,11,17,11,3,5,8,9,0,1,14,7,1,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",TRUE,935,6,336,15,3,83,20,138,0,1,186,24,147,42,0,0,28,25,1,8,0,13,0,0,86,9,42,0,10,11,8,1,0,7,0,3,1,1,1,4,33,0,0,0,6,0,0,0,16,17,8,6,6,5,5,5,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",TRUE,168,0,66,40,3,97,23,3,0,1,41,99,41,8,7,7,15,36,1,14,1,4,0,0,24,1,10,0,48,25,4,24,0,56,0,1,1,3,0,48,26,0,3,0,7,0,0,0,11,4,5,22,2,22,0,5,9,1,0,13,2,0,10,0,0,1,3,0,0,4,1,0,1,0,0,0,0,8,0,0,0,0,6,0,2,7,0,0,0,5,6,0,2,1,0,0,0,0,0,1,0,0,26,1,2,1,14,12,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",TRUE,163,2,91,55,3,96,8,7,0,1,35,27,29,3,4,4,37,20,0,6,1,7,0,0,39,4,31,0,10,6,2,4,0,15,1,4,0,3,1,7,13,1,2,0,10,0,0,0,4,0,2,7,6,8,0,2,3,3,0,2,3,0,5,0,6,2,0,0,0,0,2,0,0,3,6,0,3,4,0,0,0,0,2,0,1,4,0,0,0,4,3,0,1,0,0,0,0,1,0,0,0,0,5,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,4,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",TRUE,812,12,175,55,3,127,24,82,2,1,159,56,73,5,11,11,7,18,3,0,0,5,0,0,31,3,48,0,37,18,4,8,0,39,2,19,1,3,1,13,36,1,4,0,6,2,0,0,20,0,0,1,19,3,0,3,7,1,0,10,2,1,6,0,0,2,0,0,1,0,1,1,0,0,0,0,2,11,1,0,0,0,6,0,5,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,10,0,0,4,2,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,31,0,5,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,22,7,4,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",TRUE,179,0,51,16,3,24,11,8,0,1,20,11,25,2,7,7,3,0,1,5,0,0,0,0,3,1,9,0,0,1,0,1,0,2,0,3,0,0,0,3,10,0,1,1,1,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,3,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",TRUE,647,0,67,15,3,96,7,26,0,1,25,49,35,8,18,18,42,31,1,13,7,5,0,0,5,0,113,0,15,12,2,9,0,16,0,7,1,3,1,5,6,0,2,1,7,0,0,0,2,0,0,2,11,7,0,0,6,1,0,9,2,0,11,0,18,0,0,0,0,0,1,0,0,0,2,0,2,9,0,0,0,0,1,0,1,8,0,0,0,1,0,0,2,0,0,0,0,2,0,1,0,0,4,0,0,2,1,1,2,0,0,0,0,0,0,0,1,3,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,24,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
